state,county_state,county_fips_code,urbanicity_2,65_plus_yn,COUNT
OH,"MEIGS, OH",39105,Non-metro counties,N,5114
NE,"CLAY, NE",31035,Non-metro counties,N,1577
IN,"WABASH, IN",18169,Non-metro counties,Y,2093
OK,"MAJOR, OK",40093,Non-metro counties,N,1894
LA,"VERNON, LA",22115,Non-metro counties,N,10147
NM,"ADAMS, CO",08001,Metro counties,N,11
MS,"PONTOTOC, MS",28115,Non-metro counties,N,509
TX,"JEFFERSON DAVIS, MS",28065,Non-metro counties,N,2
KS,"KEARNY, KS",20093,Non-metro counties,Y,171
MI,"MASON, MI",26105,Non-metro counties,Y,1471
TN,"POLK, TN",47139,Metro counties,N,4673
LA,"ST. TAMMANY, LA",22103,Metro counties,Y,14036
PA,"PERRY, PA",42099,Metro counties,Y,1928
IA,"CLARKE, IA",19039,Non-metro counties,Y,233
ID,"BOUNDARY, ID",16021,Non-metro counties,N,1769
TX,"KNOX, TN",47093,Metro counties,N,9
KY,"MUHLENBERG, KY",21177,Non-metro counties,N,7694
SC,"COLLETON, SC",45029,Non-metro counties,N,9514
TX,"COOKE, TX",48097,Non-metro counties,N,7332
WA,"CLARK, WA",53011,Metro counties,N,97781
AR,"NORFOLK, MA",25021,Metro counties,Y,27
AL,"RUSSELL, AL",01113,Metro counties,N,11270
VA,"SPOTSYLVANIA, VA",51177,Metro counties,Y,3314
VA,"NELSON, VA",51125,Metro counties,Y,501
AR,"OZARK, MO",29153,Non-metro counties,Y,21
TN,"COAHOMA, MS",28027,Non-metro counties,N,47
GA,"WALKER, GA",13295,Metro counties,N,13166
IA,"POCAHONTAS, IA",19151,Non-metro counties,N,949
AK,"KODIAK ISLAND, AK",02150,Non-metro counties,Y,365
MI,"MENOMINEE, MI",26109,Non-metro counties,N,5407
TX,"NASSAU, FL",12089,Metro counties,N,5
AL,"DICKSON, AL",47043,Metro counties,N,4
OR,"CLACKAMAS, OR",41005,Metro counties,Y,13127
ME,"AROOSTOOK, ME",23003,Non-metro counties,N,14547
MN,"STEELE, MN",27147,Non-metro counties,Y,1607
TX,"HAMILTON, TX",48193,Non-metro counties,Y,78
PA,"LUZERNE, PA",42079,Metro counties,Y,15382
TX,"PEND OREILLE, WA",53051,Metro counties,N,1
AL,"HANOVER, VA",51085,Metro counties,N,114
IL,"GALLATIN, IL",17059,Non-metro counties,N,1507
AL,"RUSSELL, AL",01113,Metro counties,Y,750
MO,"RALLS, MO",29173,Non-metro counties,N,2350
GA,"CLEBURNE, AL",01029,Non-metro counties,N,13
VA,"SMYTH, VA",51173,Non-metro counties,Y,1863
ID,"MINIDOKA, ID",16067,Non-metro counties,N,3961
LA,"VERNON, LA",22115,Non-metro counties,Y,1810
TN,"COAHOMA, MS",28027,Non-metro counties,Y,5
AL,"MACON, AL",01087,Non-metro counties,Y,356
NM,"SEWARD, KS",20175,Non-metro counties,N,2
IN,"SPENCER, IN",18147,Non-metro counties,Y,885
GU,"MOBILE, AL",01097,Metro counties,N,2
FL,"WALTON, FL",12131,Metro counties,Y,2037
KY,"CLARK, IN",18019,Metro counties,Y,6
WV,"POCAHONTAS, WV",54075,Non-metro counties,N,44
TX,"LAMB, TX",48279,Non-metro counties,N,4367
LA,"IBERVILLE, LA",22047,Metro counties,N,11020
MS,"JEFFERSON DAVIS, MS",28065,Non-metro counties,N,169
TX,"FAIRFIELD, CT",09001,Metro counties,N,10
NY,"MONROE, NY",36055,Metro counties,N,189563
IL,"MOULTRIE, IL",17139,Non-metro counties,N,4129
SD,"DOUGLAS, SD",46043,Non-metro counties,Y,288
MO,"DOUGLAS, MO",29067,Non-metro counties,Y,764
AR,"KERN, CA",06029,Metro counties,N,2
IN,"MIAMI, IN",18103,Non-metro counties,Y,1759
TN,"SUMTER, FL",12119,Metro counties,N,1
AL,"NEW KENT, VA",51127,Metro counties,N,10
OR,"UNALLOCATED OREGON, OR",41000,,Y,10
WA,"PACIFIC, WA",53049,Non-metro counties,Y,1005
NC,"PITT, NC",37147,Metro counties,Y,7438
TX,"OZARK, MO",29153,Non-metro counties,N,3
IN,"DAVIESS, IN",18027,Non-metro counties,N,7181
KY,"OWEN, KY",21187,Non-metro counties,Y,335
IN,"COOK, IL",17031,Metro counties,Y,4
UT,"DISTRICT OF COLUMBIA, UT",11001,Metro counties,N,1
VA,"LOUISA, VA",51109,Non-metro counties,N,7124
WV,"GREENBRIER, WV",54025,Non-metro counties,N,67
CO,"ADAMS, CO",08001,Metro counties,N,150605
SC,"RICHLAND, SC",45079,Metro counties,Y,16969
WA,"OKANOGAN, WA",53047,Non-metro counties,Y,1585
VA,"NEW KENT, VA",51127,Metro counties,Y,689
PR,"AÑASCO, PR",72011,,N,733
NE,"SARPY, NE",31153,Metro counties,Y,1582
NM,"REEVES, TX",48389,Non-metro counties,N,4
TX,"JOHNSON, TX",48251,Metro counties,N,46218
WI,"JUNEAU, WI",55057,Non-metro counties,N,6979
MN,"BENTON, MN",27009,Metro counties,Y,2082
IN,"MONROE, FL",12087,Non-metro counties,N,15
PR,"SAN GERMÁN, PR",72125,,N,1085
TX,"PIMA, AZ",04019,Metro counties,N,52
TX,"ARAPAHOE, TX",08005,Metro counties,Y,1
VT,"FRANKLIN, VT",50011,Metro counties,Y,1331
TX,"ACADIA, LA",22001,Metro counties,N,14
AR,"JEFFERSON, AR",05069,Metro counties,N,19114
AL,"RUTHERFORD, TN",47149,Metro counties,N,6
OK,"CRAIG, OK",40035,Non-metro counties,N,4999
MI,"OTSEGO, MI",26137,Non-metro counties,N,5610
TN,"TARRANT, TX",48439,Metro counties,N,15
AR,"OSAGE, OK",40113,Metro counties,Y,1
SC,"RICHLAND, SC",45079,Metro counties,N,143190
AL,"KERN, AL",06029,Metro counties,N,4
NC,"ASHE, NC",37009,Non-metro counties,Y,1527
NM,"CHAVES, NM",35005,Non-metro counties,Y,2479
IA,"MONROE, IA",19135,Non-metro counties,Y,253
IN,"MARION, IL",17121,Non-metro counties,N,27
CO,"ARCHULETA, CO",08007,Non-metro counties,Y,753
FL,"ST. LUCIE, FL",12111,Metro counties,Y,13827
NM,"BERNALILLO, NM",35001,Metro counties,N,178016
MT,"SAN JOAQUIN, CA",06077,Metro counties,Y,5
PA,"BERKS, PA",42011,Metro counties,Y,19382
AR,"BARRY, MO",29009,Non-metro counties,Y,27
TN,"HOUSTON, TN",47083,Non-metro counties,Y,556
AL,"COAHOMA, MS",28027,Non-metro counties,N,1
CT,"TOLLAND, CT",09013,Metro counties,Y,1934
MT,"PINAL, AZ",04021,Metro counties,Y,2
TX,"KERR, TX",48265,Non-metro counties,Y,509
VA,"LANCASTER, VA",51103,Non-metro counties,Y,563
FL,"MIAMI-DADE, CA",12086,Metro counties,N,21
MT,"WASHINGTON, OR",41067,Metro counties,N,5
AR,"CRAIGHEAD, AR",05031,Metro counties,Y,6022
KY,"MUHLENBERG, IN",21177,Non-metro counties,N,3
TX,"ADAMS, CO",08001,Metro counties,N,8
TN,"MONTGOMERY, OH",39113,Metro counties,Y,1
TX,"BANDERA, TX",48019,Metro counties,Y,202
TX,"HANSFORD, TX",48195,Non-metro counties,N,1954
AR,"TARRANT, TX",48439,Metro counties,N,37
OH,"ERIE, OH",39043,Non-metro counties,N,19738
CO,"ARCHULETA, CO",08007,Non-metro counties,N,2758
KS,"SEWARD, KS",20175,Non-metro counties,N,7758
CO,"CHAFFEE, CO",08015,Non-metro counties,Y,801
WV,"CALHOUN, WV",54013,Non-metro counties,N,59
TN,"WILLIAMSON, TX",48491,Metro counties,Y,6
MO,"RANDOLPH, MO",29175,Non-metro counties,Y,1260
GA,"EVANS, GA",13109,Non-metro counties,Y,226
TX,"REAGAN, TX",48383,Non-metro counties,Y,67
MT,"PIMA, AZ",04019,Metro counties,N,7
TX,"WEBSTER, LA",22119,Metro counties,N,9
PR,"PONCE, PR",72113,,N,3878
AL,"NASSAU, FL",12089,Metro counties,N,1
TX,"FLOYD, TX",48153,Non-metro counties,N,1936
LA,"ACADIA, LA",22001,Metro counties,N,16087
LA,"WEBSTER, LA",22119,Metro counties,Y,2484
IN,"BOONE, IN",18011,Metro counties,Y,2567
TX,"ONTARIO, NY",36069,Metro counties,N,1
MN,"STEELE, MN",27147,Non-metro counties,N,10404
IN,"ST. CHARLES, MO",29183,Metro counties,N,4
NM,"APACHE, AZ",04001,Non-metro counties,N,1487
TX,"FREESTONE, TX",48161,Non-metro counties,Y,115
MD,"SOMERSET, MD",24039,Metro counties,Y,396
TN,"MARSHALL, MS",28093,Metro counties,Y,48
MN,"BENTON, MN",27009,Metro counties,N,14902
WA,"PEND OREILLE, WA",53051,Metro counties,N,2359
TN,"FRANKLIN, NC",37069,Metro counties,N,4
IN,"CLARK, IN",18019,Metro counties,Y,5512
TX,"CASS, TX",48067,Non-metro counties,Y,711
FL,"ST. LUCIE, FL",12111,Metro counties,N,59908
MI,"IRON, MI",26071,Non-metro counties,N,2571
TX,"MECKLENBURG, NC",37119,Metro counties,N,35
MD,"WASHINGTON, MD",24043,Metro counties,Y,2200
OH,"PREBLE, OH",39135,Non-metro counties,Y,2287
IA,"DALLAS, IA",19049,Metro counties,Y,1187
KY,"ROBERTSON, TN",47147,Metro counties,N,1
GU,"ROBESON, NC",37155,Non-metro counties,N,2
MI,"SCHOOLCRAFT, MI",26153,Non-metro counties,Y,461
IN,"COOK, IL",17031,Metro counties,N,14
AL,"BULLOCK, AL",01011,Non-metro counties,N,2882
PA,"FAYETTE, PA",42051,Metro counties,N,31631
IA,"WORTH, IA",19195,Non-metro counties,Y,144
PA,"ELK, PA",42047,Non-metro counties,N,6877
OH,"HOCKING, OH",39073,Metro counties,N,7386
SC,"LAURENS, SC",45059,Metro counties,Y,3751
VA,"ALBEMARLE, VA",51003,Metro counties,Y,3038
TX,"COOK, IL",17031,Metro counties,Y,3
CO,"SAN JUAN, WI",08111,Non-metro counties,Y,1
CO,"LINCOLN, CO",08073,Non-metro counties,Y,223
GA,"TALBOT, GA",13263,Non-metro counties,Y,186
AR,"LITTLE RIVER, AR",05081,Metro counties,Y,767
PR,"YORK, PA",42133,Metro counties,N,4
TX,"HAMILTON, TX",48193,Non-metro counties,N,1604
VA,"SMYTH, VA",51173,Non-metro counties,N,9672
IN,"MONROE, MI",26115,Metro counties,N,6
CA,"MARIN, CA",06041,Metro counties,N,45553
AL,"COWETA, AL",13077,Metro counties,N,12
OR,"MARION, OR",41047,Metro counties,Y,11588
PA,"FRANKLIN, PA",42055,Metro counties,Y,9340
AL,"MECKLENBURG, NC",37119,Metro counties,N,21
FL,"MONROE, FL",12087,Non-metro counties,N,12630
