,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,E_TOTPOP,E_POV150_PER,E_UNEMP_PER,E_HBURD_PER,E_NOHSDP_PER,E_UNINSUR_PER,E_AGE65_PER,E_DISABL_PER,E_SNGPNT_PER,E_LIMENG_PER,CASES,CASES_PER_CAPITA,QUARTILE
0,01,Alabama,AL,Autauga,01001,"Autauga County, Alabama",55639,22.67,1.32,9.04,7.68,7.81,15.26,17.36,2.89,0.65,20264,0.36420496414385595,4
1,01,Alabama,AL,Baldwin,01003,"Baldwin County, Alabama",218289,16.68,1.84,8.86,6.79,9.39,20.48,14.02,1.52,0.73,66319,0.303812835278003,3
2,01,Alabama,AL,Barbour,01005,"Barbour County, Alabama",25026,35.82,2.59,9.21,17.97,9.44,19.09,16.62,4.11,1.73,6766,0.2703588268201071,2
3,01,Alabama,AL,Bibb,01007,"Bibb County, Alabama",22374,25.61,2.98,7.06,13.66,8.39,16.43,16.75,3.53,0.34,8268,0.3695360686511129,4
4,01,Alabama,AL,Blount,01009,"Blount County, Alabama",57755,23.59,2.17,7.03,11.84,9.95,17.98,14.83,2.27,1.39,20307,0.35160592156523246,4
5,01,Alabama,AL,Bullock,01011,"Bullock County, Alabama",10173,40.58,1.37,6.83,16.71,10.08,16.1,11.83,4.91,1.47,3111,0.30580949572397526,3
6,01,Alabama,AL,Butler,01013,"Butler County, Alabama",19726,31.09,2.79,7.01,9.56,10.0,20.74,15.55,2.53,0.3,6224,0.31552266044813954,3
7,01,Alabama,AL,Calhoun,01015,"Calhoun County, Alabama",114324,26.52,3.3,8.27,10.31,9.85,17.71,20.07,2.6,0.66,39285,0.3436286344074735,4
8,01,Alabama,AL,Chambers,01017,"Chambers County, Alabama",33427,27.75,1.64,8.77,12.39,9.11,19.54,18.29,2.68,0.33,10627,0.31791665420169324,3
9,01,Alabama,AL,Cherokee,01019,"Cherokee County, Alabama",26035,25.59,1.71,7.56,12.63,9.44,22.93,16.57,1.48,1.06,6613,0.2540042250816209,2
10,01,Alabama,AL,Chilton,01021,"Chilton County, Alabama",44147,27.32,2.61,7.18,12.42,11.65,16.58,20.1,2.48,1.63,12605,0.2855233651210728,3
11,01,Alabama,AL,Choctaw,01023,"Choctaw County, Alabama",12755,29.39,2.4,6.38,12.57,9.98,23.11,25.58,3.35,0.2,2197,0.17224617796942376,1
12,01,Alabama,AL,Clarke,01025,"Clarke County, Alabama",23866,34.57,4.5,8.56,12.17,9.53,19.88,19.07,3.17,0.09,8207,0.3438783206234811,4
13,01,Alabama,AL,Clay,01027,"Clay County, Alabama",13285,27.74,2.3,6.5,13.22,8.34,20.37,18.81,3.62,0.07,5246,0.3948814452389913,4
14,01,Alabama,AL,Cleburne,01029,"Cleburne County, Alabama",14952,26.87,1.32,7.14,12.55,11.98,20.56,20.26,1.47,0.54,4402,0.2944087747458534,3
15,01,Alabama,AL,Coffee,01031,"Coffee County, Alabama",52238,24.52,2.42,7.47,9.87,10.21,16.96,17.04,3.42,1.06,15978,0.3058692905547686,3
16,01,Alabama,AL,Colbert,01033,"Colbert County, Alabama",54957,23.25,1.78,9.16,10.17,6.77,19.83,17.43,2.41,0.69,20705,0.37674909474680207,4
17,01,Alabama,AL,Coosa,01037,"Coosa County, Alabama",10696,23.17,1.02,6.51,13.03,6.67,23.35,22.72,1.38,0.37,5102,0.47700074794315633,4
18,01,Alabama,AL,Covington,01039,"Covington County, Alabama",37096,27.5,3.35,8.03,10.42,10.58,21.18,19.94,2.63,0.14,10722,0.2890338580979081,3
19,01,Alabama,AL,Crenshaw,01041,"Crenshaw County, Alabama",13826,26.61,1.71,6.98,14.83,7.95,19.27,22.13,2.36,0.41,4679,0.33842036742369447,4
20,01,Alabama,AL,Cullman,01043,"Cullman County, Alabama",83345,21.42,2.24,7.42,12.36,11.48,18.41,18.63,2.18,0.6,30866,0.37034015237866696,4
21,01,Alabama,AL,Dale,01045,"Dale County, Alabama",49293,29.56,3.48,9.47,9.99,10.12,16.9,19.86,3.07,0.79,15610,0.31667782443754694,3
22,01,Alabama,AL,Dallas,01047,"Dallas County, Alabama",38184,40.62,4.23,11.68,10.77,10.14,17.99,17.86,3.99,0.23,10044,0.2630421118793212,2
23,01,Alabama,AL,DeKalb,01049,"DeKalb County, Alabama",71430,34.95,1.97,7.55,14.86,13.56,16.97,13.2,2.1,3.07,21580,0.3021139577208456,3
